######################################################################
                        ALTERNATIVES GENERATED
######################################################################
+------+-------+-------+--------+-------+-------+-------+------------+
|  i   |   k1  |   k2  |   k3   |   e1  |   e2  |   e3  | worse_than |
|  50  | 5.411 | 0.948 | 37.059 | 0.996 | 0.533 | 0.385 |    None    |
|  51  | 5.763 | 0.922 | 45.649 | 0.855 | 0.244 | 0.007 |    None    |
|  52  | 6.458 | 0.929 | 29.436 | 0.577 | 0.322 | 0.721 |    None    |
|  53  | 7.667 | 0.955 | 41.874 | 0.093 | 0.611 | 0.173 |    None    |
|  54  | 6.287 | 0.947 | 34.228 | 0.645 | 0.522 |  0.51 |    None    |
|  55  | 6.894 | 0.982 | 38.68  | 0.402 | 0.911 | 0.314 |    None    |
|  56  | 6.091 | 0.923 | 39.812 | 0.724 | 0.256 | 0.264 |    None    |
|  57  |  7.38 | 0.926 | 34.039 | 0.208 | 0.289 | 0.518 |    None    |
|  58  | 7.044 | 0.901 | 36.527 | 0.342 | 0.011 | 0.409 |    None    |
|  59  | 5.507 | 0.944 | 36.921 | 0.957 | 0.489 | 0.391 |    None    |
|  60  | 6.558 | 0.985 | 30.496 | 0.537 | 0.944 | 0.674 |    None    |
|  61  | 6.059 |  0.91 | 33.961 | 0.736 | 0.111 | 0.522 |    None    |
|  62  | 6.728 | 0.982 | 32.169 | 0.469 | 0.911 |  0.6  |    None    |
|  63  | 7.126 | 0.954 | 34.371 |  0.31 |  0.6  | 0.503 |    None    |
|  64  | 7.211 | 0.989 | 33.668 | 0.276 | 0.989 | 0.534 |    None    |
|  65  | 6.971 | 0.925 | 31.782 | 0.372 | 0.278 | 0.618 |    None    |
|  66  | 6.895 | 0.952 | 39.658 | 0.402 | 0.578 | 0.271 |    None    |
|  67  | 7.323 | 0.914 | 26.386 | 0.231 | 0.156 | 0.855 |    None    |
|  68  | 7.623 | 0.932 | 26.019 | 0.111 | 0.356 | 0.871 |    None    |
|  69  | 5.426 | 0.972 |  34.3  |  0.99 |  0.8  | 0.507 |    None    |
|  70  | 5.681 | 0.976 | 27.678 | 0.888 | 0.844 | 0.798 |    None    |
|  71  | 6.127 |  0.95 | 25.163 | 0.709 | 0.556 | 0.909 |    None    |
|  72  | 6.107 | 0.983 | 26.233 | 0.717 | 0.922 | 0.862 |    None    |
|  73  | 6.307 |  0.95 | 44.667 | 0.637 | 0.556 |  0.05 |    None    |
|  74  | 6.846 | 0.932 | 24.226 | 0.422 | 0.356 |  0.95 |    None    |
|  75  | 5.778 | 0.937 | 29.884 | 0.849 | 0.411 | 0.701 |    None    |
|  76  | 5.928 | 0.945 | 26.428 | 0.789 |  0.5  | 0.853 |    None    |
|  77  | 7.131 | 0.946 | 42.621 | 0.308 | 0.511 |  0.14 |    None    |
|  78  | 7.164 | 0.926 | 24.655 | 0.294 | 0.289 | 0.931 |    None    |
|  79  | 6.073 | 0.966 | 39.524 | 0.731 | 0.733 | 0.276 |    None    |
|  80  | 7.271 | 0.988 | 30.359 | 0.252 | 0.978 |  0.68 |    None    |
|  81  | 7.581 |  0.96 | 37.016 | 0.128 | 0.667 | 0.387 |    None    |
|  82  | 7.238 | 0.977 | 29.915 | 0.265 | 0.856 |  0.7  |    None    |
|  83  | 6.981 | 0.962 | 39.063 | 0.368 | 0.689 | 0.297 |    None    |
|  84  | 6.966 | 0.902 | 23.418 | 0.374 | 0.022 | 0.986 |    None    |
|  85  | 7.615 | 0.933 | 37.155 | 0.114 | 0.367 | 0.381 |    None    |
|  86  | 5.676 | 0.906 | 41.486 |  0.89 | 0.067 |  0.19 |    None    |
|  87  | 6.824 | 0.982 | 34.25  |  0.43 | 0.911 | 0.509 |    None    |
|  88  | 6.426 |  0.93 | 26.001 |  0.59 | 0.333 | 0.872 |    None    |
|  89  | 6.166 | 0.966 | 45.598 | 0.694 | 0.733 | 0.009 |    None    |
|  90  | 7.806 | 0.969 | 27.583 | 0.038 | 0.767 | 0.803 |    None    |
|  91  | 5.765 | 0.972 | 40.198 | 0.854 |  0.8  | 0.247 |    None    |
|  92  | 6.291 | 0.911 | 23.298 | 0.644 | 0.122 | 0.991 |    None    |
|  93  | 6.091 |  0.96 | 37.64  | 0.724 | 0.667 | 0.359 |    None    |
|  94  | 5.974 | 0.902 | 34.222 |  0.77 | 0.022 |  0.51 |    None    |
|  95  | 5.988 | 0.952 | 43.694 | 0.765 | 0.578 | 0.093 |    None    |
|  96  | 6.858 |  0.9  | 37.631 | 0.417 |  0.0  |  0.36 |    None    |
|  97  | 5.641 | 0.934 | 28.856 | 0.904 | 0.378 | 0.746 |    None    |
|  98  | 5.445 | 0.964 | 23.444 | 0.982 | 0.711 | 0.985 |    None    |
|  99  | 5.814 | 0.945 | 37.989 | 0.834 |  0.5  | 0.344 |    None    |
| 100  | 7.331 | 0.987 | 32.493 | 0.228 | 0.967 | 0.586 |    None    |
| 101  | 7.313 |  0.93 | 45.773 | 0.235 | 0.333 | 0.001 |    None    |
| 102  | 6.564 | 0.912 | 33.244 | 0.534 | 0.133 | 0.553 |    None    |
| 103  |  6.69 | 0.964 | 34.35  | 0.484 | 0.711 | 0.504 |    None    |
| 104  | 6.833 | 0.961 | 24.684 | 0.427 | 0.678 |  0.93 |    None    |
| 105  | 5.886 | 0.979 | 29.278 | 0.806 | 0.878 | 0.728 |    None    |
| 106  | 7.398 |  0.95 | 32.513 | 0.201 | 0.556 | 0.585 |    None    |
| 107  | 5.822 | 0.958 | 44.112 | 0.831 | 0.644 | 0.074 |    None    |
| 108  | 5.698 | 0.988 | 30.607 | 0.881 | 0.978 | 0.669 |    None    |
| 109  | 6.324 | 0.975 | 44.376 |  0.63 | 0.833 | 0.063 |    None    |
| 110  | 6.996 | 0.978 | 23.976 | 0.362 | 0.867 | 0.961 |    None    |
| 111  | 5.915 | 0.954 | 26.031 | 0.794 |  0.6  | 0.871 |    None    |
| 112  |  5.48 | 0.941 | 26.236 | 0.968 | 0.456 | 0.862 |    None    |
| 113  | 7.548 | 0.963 | 23.601 | 0.141 |  0.7  | 0.978 |    None    |
| 114  | 6.305 | 0.985 | 24.265 | 0.638 | 0.944 | 0.949 |    None    |
| 115  | 7.472 | 0.988 | 33.074 | 0.171 | 0.978 | 0.561 |    None    |
| 116  | 6.175 | 0.911 | 33.814 |  0.69 | 0.122 | 0.528 |    None    |
| 117  | 6.818 | 0.976 | 45.547 | 0.433 | 0.844 | 0.011 |    None    |
| 118  | 5.446 | 0.902 | 33.234 | 0.982 | 0.022 | 0.554 |    None    |
| 119  | 7.372 | 0.974 | 35.594 | 0.211 | 0.822 |  0.45 |    None    |
| 120  |  6.75 | 0.966 | 31.618 |  0.46 | 0.733 | 0.625 |    None    |
| 121  | 5.947 | 0.969 | 44.427 | 0.781 | 0.767 |  0.06 |    None    |
| 122  | 5.563 | 0.949 | 37.469 | 0.935 | 0.544 | 0.367 |    None    |
| 123  | 7.794 |  0.97 | 40.007 | 0.042 | 0.778 | 0.255 |    None    |
| 124  |  7.13 | 0.968 | 28.858 | 0.308 | 0.756 | 0.746 |    None    |
| 125  | 7.305 | 0.983 | 27.396 | 0.238 | 0.922 | 0.811 |    None    |
| 126  | 6.616 |  0.96 | 30.607 | 0.514 | 0.667 | 0.669 |    None    |
| 127  |  7.67 | 0.989 | 34.941 | 0.092 | 0.989 | 0.478 |    None    |
| 128  | 5.589 | 0.924 |  30.8  | 0.924 | 0.267 | 0.661 |    None    |
| 129  | 6.088 | 0.963 | 41.077 | 0.725 |  0.7  | 0.208 |    None    |
| 130  | 7.634 | 0.973 | 37.354 | 0.106 | 0.811 | 0.372 |    None    |
| 131  | 6.386 | 0.926 | 40.423 | 0.606 | 0.289 | 0.237 |    None    |
| 132  | 7.022 |  0.97 | 35.47  | 0.351 | 0.778 | 0.455 |    None    |
| 133  | 7.881 | 0.917 | 32.073 | 0.008 | 0.189 | 0.605 |    None    |
| 134  | 6.671 | 0.912 | 37.598 | 0.492 | 0.133 | 0.361 |    None    |
| 135  | 6.377 | 0.964 | 43.304 | 0.609 | 0.711 |  0.11 |    None    |
| 136  | 6.863 | 0.938 | 35.148 | 0.415 | 0.422 | 0.469 |    None    |
| 137  | 6.744 | 0.951 | 37.956 | 0.462 | 0.567 | 0.346 |    None    |
| 138  | 7.361 | 0.975 | 29.156 | 0.216 | 0.833 | 0.733 |    None    |
| 139  | 6.712 | 0.952 | 31.755 | 0.475 | 0.578 | 0.619 |    None    |
| 140  | 7.398 | 0.933 | 33.801 | 0.201 | 0.367 | 0.529 |    None    |
| 141  | 7.224 | 0.944 | 34.519 |  0.27 | 0.489 | 0.497 |    None    |
| 142  | 5.819 | 0.935 | 44.886 | 0.832 | 0.389 |  0.04 |    None    |
| 143  | 6.898 | 0.981 | 30.149 | 0.401 |  0.9  | 0.689 |    None    |
| 144  |  6.43 | 0.973 | 32.813 | 0.588 | 0.811 | 0.572 |    None    |
| 145  | 5.511 | 0.914 | 31.514 | 0.956 | 0.156 | 0.629 |    None    |
| 146  | 5.481 | 0.941 | 27.844 | 0.968 | 0.456 | 0.791 |    None    |
| 147  | 6.323 | 0.969 | 30.827 | 0.631 | 0.767 |  0.66 |    None    |
| 148  | 6.149 | 0.973 | 35.736 |  0.7  | 0.811 | 0.443 |    None    |
| 149  | 6.852 | 0.937 | 25.649 | 0.419 | 0.411 | 0.888 |    None    |
| 150  | 7.574 | 0.906 | 37.536 |  0.13 | 0.067 | 0.364 |    None    |
| 151  | 6.767 | 0.977 | 31.643 | 0.453 | 0.856 | 0.624 |    None    |
| 152  | 5.534 | 0.953 | 30.267 | 0.946 | 0.589 | 0.684 |    None    |
| 153  | 5.464 |  0.97 | 31.061 | 0.974 | 0.778 | 0.649 |    None    |
| 154  | 7.247 | 0.947 | 42.193 | 0.261 | 0.522 | 0.159 |    None    |
| 155  | 7.006 |  0.92 | 32.498 | 0.358 | 0.222 | 0.586 |    None    |
| 156  | 7.054 | 0.976 | 23.265 | 0.338 | 0.844 | 0.993 |    None    |
| 157  | 7.389 | 0.913 | 23.829 | 0.204 | 0.144 | 0.968 |    None    |
| 158  | 6.437 | 0.981 | 45.533 | 0.585 |  0.9  | 0.012 |    None    |
| 159  | 7.762 | 0.943 | 27.801 | 0.055 | 0.478 | 0.793 |    None    |
| 160  | 6.085 | 0.959 | 40.438 | 0.726 | 0.656 | 0.236 |    None    |
| 161  | 5.963 |  0.92 | 36.624 | 0.775 | 0.222 | 0.404 |    None    |
| 162  | 5.994 | 0.904 | 34.233 | 0.762 | 0.044 |  0.51 |    None    |
| 163  | 5.866 | 0.919 | 26.817 | 0.814 | 0.211 | 0.836 |    None    |
| 164  | 7.439 | 0.986 | 31.551 | 0.184 | 0.956 | 0.628 |    None    |
| 165  | 6.212 | 0.977 | 26.955 | 0.675 | 0.856 |  0.83 |    None    |
| 166  |  5.57 | 0.925 | 39.545 | 0.932 | 0.278 | 0.276 |    None    |
| 167  | 6.529 | 0.981 | 28.69  | 0.548 |  0.9  | 0.754 |    None    |
| 168  | 7.788 | 0.962 | 39.982 | 0.045 | 0.689 | 0.256 |    None    |
| 169  | 6.659 | 0.915 | 25.253 | 0.496 | 0.167 | 0.905 |    None    |
| 170  | 7.318 | 0.938 | 23.263 | 0.233 | 0.422 | 0.993 |    None    |
| 171  | 6.372 | 0.904 |  37.6  | 0.611 | 0.044 | 0.361 |    None    |
| 172  | 7.465 | 0.967 | 29.797 | 0.174 | 0.744 | 0.705 |    None    |
| 173  | 6.366 |  0.98 | 33.127 | 0.614 | 0.889 | 0.558 |    None    |
| 174  | 7.437 | 0.963 | 39.299 | 0.185 |  0.7  | 0.286 |    None    |
| 175  | 7.487 | 0.904 | 38.779 | 0.165 | 0.044 | 0.309 |    None    |
| 176  |  7.11 | 0.979 | 40.006 | 0.316 | 0.878 | 0.255 |    None    |
| 177  | 5.925 | 0.909 | 30.328 |  0.79 |  0.1  | 0.682 |    None    |
| 178  | 7.366 | 0.976 | 34.735 | 0.214 | 0.844 | 0.487 |    None    |
| 179  | 7.723 | 0.955 | 33.814 | 0.071 | 0.611 | 0.528 |    None    |
| 180  | 6.592 | 0.966 | 41.234 | 0.523 | 0.733 | 0.201 |    None    |
| 181  | 5.633 | 0.955 | 28.209 | 0.907 | 0.611 | 0.775 |    None    |
| 182  | 7.754 | 0.939 | 40.727 | 0.058 | 0.433 | 0.223 |    None    |
| 183  | 7.757 |  0.98 | 45.738 | 0.057 | 0.889 | 0.003 |    None    |
| 184  | 5.998 | 0.944 | 34.189 | 0.761 | 0.489 | 0.511 |    None    |
| 185  | 7.157 | 0.914 | 23.411 | 0.297 | 0.156 | 0.986 |    None    |
| 186  | 5.908 |  0.95 | 26.669 | 0.797 | 0.556 | 0.843 |    None    |
| 187  | 7.156 | 0.981 | 31.48  | 0.298 |  0.9  | 0.631 |    None    |
| 188  | 5.811 | 0.919 | 25.65  | 0.836 | 0.211 | 0.888 |    None    |
| 189  | 6.798 | 0.956 | 39.691 | 0.441 | 0.622 | 0.269 |    None    |
| 190  | 7.297 | 0.907 | 30.725 | 0.241 | 0.078 | 0.664 |    None    |
| 191  | 5.883 | 0.915 | 43.463 | 0.807 | 0.167 | 0.103 |    None    |
| 192  | 6.112 | 0.962 | 37.966 | 0.715 | 0.689 | 0.345 |    None    |
| 193  | 6.941 | 0.987 | 40.753 | 0.384 | 0.967 | 0.222 |    None    |
| 194  | 6.425 | 0.952 | 26.355 |  0.59 | 0.578 | 0.857 |    None    |
| 195  | 6.212 | 0.954 | 45.419 | 0.675 |  0.6  | 0.017 |    None    |
| 196  | 7.576 | 0.945 | 35.879 |  0.13 |  0.5  | 0.437 |    None    |
| 197  | 6.923 |  0.96 | 43.558 | 0.391 | 0.667 | 0.099 |    None    |
| 198  | 5.509 | 0.989 | 35.108 | 0.956 | 0.989 | 0.471 |    None    |
| 199  | 6.183 | 0.937 | 32.737 | 0.687 | 0.411 | 0.575 |    None    |
| 200  | 5.401 | 0.901 | 44.595 |  1.0  | 0.011 | 0.053 |    None    |
| 201  | 7.309 | 0.935 | 35.015 | 0.236 | 0.389 | 0.475 |    None    |
| 202  | 5.942 |  0.94 | 37.107 | 0.783 | 0.444 | 0.383 |    None    |
| 203  | 5.568 | 0.984 | 31.966 | 0.933 | 0.933 | 0.609 |    None    |
| 204  | 7.057 | 0.959 | 28.607 | 0.337 | 0.656 | 0.757 |    None    |
| 205  | 5.405 | 0.971 | 38.448 | 0.998 | 0.789 | 0.324 |    None    |
| 206  | 6.684 | 0.938 | 39.257 | 0.486 | 0.422 | 0.288 |    None    |
| 207  | 7.707 | 0.952 | 35.343 | 0.077 | 0.578 | 0.461 |    None    |
| 208  | 5.924 | 0.905 | 31.744 |  0.79 | 0.056 | 0.619 |    None    |
| 209  |  6.05 | 0.926 | 24.123 |  0.74 | 0.289 | 0.955 |    None    |
| 210  | 7.573 |  0.92 | 23.516 | 0.131 | 0.222 | 0.982 |    None    |
| 211  |  6.75 | 0.978 | 39.155 |  0.46 | 0.867 | 0.293 |    None    |
| 212  | 7.632 | 0.943 | 40.968 | 0.107 | 0.478 | 0.213 |    None    |
| 213  | 7.045 | 0.908 | 31.289 | 0.342 | 0.089 | 0.639 |    None    |
| 214  | 6.867 | 0.941 | 29.694 | 0.413 | 0.456 |  0.71 |    None    |
| 215  | 7.016 | 0.932 | 31.361 | 0.354 | 0.356 | 0.636 |    None    |
| 216  | 6.538 | 0.982 | 30.928 | 0.545 | 0.911 | 0.655 |    None    |
| 217  | 6.912 | 0.934 | 44.197 | 0.395 | 0.378 | 0.071 |    None    |
| 218  | 7.214 | 0.956 | 37.989 | 0.274 | 0.622 | 0.344 |    None    |
| 219  | 7.009 | 0.942 | 39.565 | 0.356 | 0.467 | 0.275 |    None    |
| 220  | 5.746 | 0.939 | 44.16  | 0.862 | 0.433 | 0.072 |    None    |
| 221  | 7.313 | 0.937 | 30.653 | 0.235 | 0.411 | 0.667 |    None    |
| 222  | 6.413 | 0.916 | 26.654 | 0.595 | 0.178 | 0.843 |    None    |
| 223  | 5.919 | 0.938 | 39.332 | 0.792 | 0.422 | 0.285 |    None    |
| 224  | 5.719 |  0.97 | 39.819 | 0.872 | 0.778 | 0.263 |    None    |
| 225  | 6.446 | 0.962 | 32.637 | 0.582 | 0.689 |  0.58 |    None    |
| 226  | 5.928 | 0.979 | 23.974 | 0.789 | 0.878 | 0.961 |    None    |
| 227  | 5.967 | 0.939 | 23.269 | 0.773 | 0.433 | 0.993 |    None    |
| 228  | 7.424 | 0.937 | 33.963 |  0.19 | 0.411 | 0.521 |    None    |
| 229  | 7.837 |  0.93 | 44.764 | 0.025 | 0.333 | 0.046 |    None    |
| 230  | 6.359 | 0.947 | 29.446 | 0.616 | 0.522 |  0.72 |    None    |
| 231  | 7.546 | 0.934 | 37.013 | 0.142 | 0.378 | 0.387 |    None    |
| 232  | 7.253 | 0.952 | 31.023 | 0.259 | 0.578 | 0.651 |    None    |
| 233  | 5.812 | 0.956 | 33.332 | 0.835 | 0.622 | 0.549 |    None    |
| 234  | 6.962 | 0.975 | 40.598 | 0.375 | 0.833 | 0.229 |    None    |
| 235  | 7.181 | 0.922 | 39.491 | 0.288 | 0.244 | 0.278 |    None    |
| 236  | 7.085 | 0.926 | 24.343 | 0.326 | 0.289 | 0.945 |    None    |
| 237  |  6.1  | 0.939 | 43.43  |  0.72 | 0.433 | 0.104 |    None    |
| 238  | 7.829 | 0.974 | 33.703 | 0.028 | 0.822 | 0.533 |    None    |
| 239  | 5.989 | 0.939 | 42.908 | 0.764 | 0.433 | 0.127 |    None    |
| 240  | 7.121 | 0.912 | 26.421 | 0.312 | 0.133 | 0.854 |    None    |
| 241  | 7.301 | 0.953 | 38.87  |  0.24 | 0.589 | 0.305 |    None    |
| 242  | 6.635 | 0.928 | 45.737 | 0.506 | 0.311 | 0.003 |    None    |
| 243  | 7.673 | 0.947 | 44.524 | 0.091 | 0.522 | 0.056 |    None    |
| 244  | 6.687 | 0.912 | 29.052 | 0.485 | 0.133 | 0.738 |    None    |
| 245  | 7.207 | 0.986 | 35.008 | 0.277 | 0.956 | 0.475 |    None    |
| 246  | 7.861 | 0.905 | 31.439 | 0.016 | 0.056 | 0.633 |    None    |
| 247  | 6.144 | 0.949 | 26.428 | 0.702 | 0.544 | 0.853 |    None    |
| 248  | 7.851 | 0.909 | 27.319 |  0.02 |  0.1  | 0.814 |    None    |
| 249  | 7.294 | 0.931 | 35.411 | 0.242 | 0.344 | 0.458 |    None    |
| 250  | 6.197 | 0.932 | 29.093 | 0.681 | 0.356 | 0.736 |    None    |
| 251  | 5.579 | 0.909 | 26.378 | 0.928 |  0.1  | 0.856 |    None    |
| 252  | 7.366 |  0.96 | 35.699 | 0.214 | 0.667 | 0.445 |    None    |
| 253  |  5.86 | 0.917 | 40.907 | 0.816 | 0.189 | 0.216 |    None    |
| 254  | 6.774 | 0.939 | 23.97  |  0.45 | 0.433 | 0.962 |    None    |
| 255  | 6.484 | 0.953 | 29.741 | 0.566 | 0.589 | 0.707 |    None    |
| 256  | 6.953 | 0.984 | 24.118 | 0.379 | 0.933 | 0.955 |    None    |
| 257  | 7.427 |  0.97 | 32.758 | 0.189 | 0.778 | 0.575 |    None    |
| 258  | 5.697 | 0.978 | 38.819 | 0.881 | 0.867 | 0.308 |    None    |
| 259  | 7.419 | 0.927 | 39.509 | 0.192 |  0.3  | 0.277 |    None    |
| 260  | 7.465 | 0.916 | 27.018 | 0.174 | 0.178 | 0.827 |    None    |
| 261  | 6.922 | 0.919 | 28.607 | 0.391 | 0.211 | 0.757 |    None    |
| 262  | 7.334 | 0.952 | 45.511 | 0.226 | 0.578 | 0.013 |    None    |
| 263  |  7.03 | 0.903 | 40.033 | 0.348 | 0.033 | 0.254 |    None    |
| 264  | 6.679 | 0.911 | 40.886 | 0.488 | 0.122 | 0.216 |    None    |
| 265  |  6.56 | 0.949 | 35.076 | 0.536 | 0.544 | 0.472 |    None    |
| 266  | 6.097 | 0.917 | 27.205 | 0.721 | 0.189 | 0.819 |    None    |
| 267  |  6.31 | 0.989 | 24.808 | 0.636 | 0.989 | 0.925 |    None    |
| 268  | 6.348 |  0.96 | 31.714 | 0.621 | 0.667 | 0.621 |    None    |
| 269  | 5.478 | 0.983 | 42.971 | 0.969 | 0.922 | 0.125 |    None    |
| 270  | 5.733 | 0.937 | 37.232 | 0.867 | 0.411 | 0.377 |    None    |
| 271  | 5.906 | 0.962 | 42.521 | 0.798 | 0.689 | 0.144 |    None    |
| 272  | 7.723 | 0.921 | 28.633 | 0.071 | 0.233 | 0.756 |    None    |
| 273  | 7.476 | 0.939 | 32.879 |  0.17 | 0.433 | 0.569 |    None    |
| 274  | 5.957 | 0.935 | 28.571 | 0.777 | 0.389 | 0.759 |    None    |
| 275  | 6.525 |  0.94 | 45.17  |  0.55 | 0.444 | 0.028 |    None    |
| 276  | 5.421 | 0.927 | 25.757 | 0.992 |  0.3  | 0.883 |    None    |
| 277  | 6.483 | 0.919 | 29.801 | 0.567 | 0.211 | 0.705 |    None    |
| 278  | 6.027 |  0.96 | 44.061 | 0.749 | 0.667 | 0.077 |    None    |
| 279  | 6.409 | 0.929 | 26.393 | 0.596 | 0.322 | 0.855 |    None    |
| 280  | 7.385 |  0.96 | 41.436 | 0.206 | 0.667 | 0.192 |    None    |
| 281  | 7.425 | 0.981 | 23.377 |  0.19 |  0.9  | 0.988 |    None    |
| 282  | 7.352 | 0.981 | 34.782 | 0.219 |  0.9  | 0.485 |    None    |
| 283  | 7.252 |  0.91 | 40.364 | 0.259 | 0.111 | 0.239 |    None    |
| 284  | 5.583 | 0.933 | 35.742 | 0.927 | 0.367 | 0.443 |    None    |
| 285  | 5.654 | 0.928 | 26.804 | 0.898 | 0.311 | 0.837 |    None    |
| 286  | 7.144 | 0.926 | 41.683 | 0.302 | 0.289 | 0.181 |    None    |
| 287  | 6.344 | 0.952 | 29.336 | 0.622 | 0.578 | 0.725 |    None    |
| 288  |  7.46 | 0.989 | 26.496 | 0.176 | 0.989 |  0.85 |    None    |
| 289  | 7.253 | 0.952 | 32.062 | 0.259 | 0.578 | 0.605 |    None    |
| 290  | 5.554 | 0.959 | 33.819 | 0.938 | 0.656 | 0.528 |    None    |
| 291  |  5.92 |  0.91 | 39.872 | 0.792 | 0.111 | 0.261 |    None    |
| 292  | 7.038 |  0.98 | 23.705 | 0.345 | 0.889 | 0.973 |    None    |
| 293  | 7.596 | 0.915 | 34.41  | 0.122 | 0.167 | 0.502 |    None    |
| 294  | 5.919 | 0.944 | 42.21  | 0.792 | 0.489 | 0.158 |    None    |
| 295  | 6.153 | 0.927 | 44.523 | 0.699 |  0.3  | 0.056 |    None    |
| 296  | 5.629 | 0.924 | 43.861 | 0.908 | 0.267 | 0.085 |    None    |
| 297  | 6.579 | 0.985 | 32.391 | 0.528 | 0.944 | 0.591 |    None    |
| 298  | 5.891 |  0.92 | 38.175 | 0.804 | 0.222 | 0.336 |    None    |
